OP,NCC,GCC,SLCC
1.0,2.763958E-4,1.0,0.0
0.9997236,5.527916E-4,0.9997236,0.0
0.9994472,0.0016583748,0.9983416,5.527916E-4
0.99917084,0.0019347706,0.99806523,5.527916E-4
0.9988944,0.0022111663,0.99778885,5.527916E-4
0.998618,0.0024875621,0.99751246,5.527916E-4
0.9983416,0.002763958,0.997236,5.527916E-4
0.99806523,0.0030403538,0.9969596,5.527916E-4
0.99778885,0.0033167496,0.99668324,5.527916E-4
0.99751246,0.005527916,0.9917081,0.002763958
0.997236,0.005804312,0.9914317,0.002763958
0.9969596,0.0060807075,0.9911553,0.002763958
0.99668324,0.0063571036,0.99087894,0.002763958
0.99640685,0.006633499,0.99060255,0.002763958
0.99613047,0.0069098948,0.99032617,0.002763958
0.9958541,0.007186291,0.9900498,0.002763958
0.9955777,0.0074626864,0.98977333,0.002763958
0.99530125,0.0077390824,0.98949695,0.002763958
0.99502486,0.008015478,0.98922056,0.002763958
0.9947485,0.008291874,0.9889442,0.002763958
0.9944721,0.00856827,0.9886678,0.002763958
0.9941957,0.008844665,0.9883914,0.002763958
0.9939193,0.009121061,0.98811495,0.002763958
0.9936429,0.009397457,0.98783857,0.002763958
0.9933665,0.009673853,0.9875622,0.002763958
0.9930901,0.0099502485,0.9872858,0.002763958
0.9928137,0.010226645,0.9870094,0.002763958
0.9925373,0.011608624,0.9856274,0.002763958
0.99226093,0.011885019,0.985351,0.002763958
0.99198455,0.014096186,0.98231065,0.002763958
0.9917081,0.014372582,0.98203427,0.002763958
0.9914317,0.014648978,0.9817579,0.002763958
0.9911553,0.014925373,0.9814815,0.002763958
0.99087894,0.015201769,0.9812051,0.002763958
0.99060255,0.015478165,0.9809287,0.002763958
0.99032617,0.01575456,0.9806523,0.002763958
0.9900498,0.016030956,0.9803759,0.002763958
0.98977333,0.016860144,0.9795467,0.002763958
0.98949695,0.01713654,0.97927034,0.002763958
0.98922056,0.017412934,0.9789939,0.002763958
0.9889442,0.01768933,0.9787175,0.002763958
0.9886678,0.017965727,0.9784411,0.002763958
0.9883914,0.018518519,0.97788835,0.002763958
0.98811495,0.018794915,0.97761196,0.002763958
0.98783857,0.01907131,0.9773356,0.002763958
0.9875622,0.019347707,0.9770591,0.002763958
0.9872858,0.019624101,0.97678274,0.002763958
0.9870094,0.019900497,0.97650635,0.002763958
0.986733,0.020176893,0.97622997,0.002763958
0.98645663,0.02045329,0.9759536,0.002763958
0.9861802,0.020729685,0.9756772,0.002763958
0.9859038,0.021006081,0.97540075,0.002763958
0.9856274,0.021282477,0.97512436,0.002763958
0.985351,0.021558871,0.974848,0.002763958
0.98507464,0.021835268,0.9745716,0.002763958
0.98479825,0.022664456,0.9731896,0.002763958
0.9845218,0.022940852,0.9729132,0.002763958
0.9842454,0.023217248,0.9726368,0.002763958
0.98396903,0.02432283,0.9715312,0.002763958
0.98369265,0.024599226,0.9712548,0.002763958
0.98341626,0.024875622,0.97097844,0.002763958
0.9831399,0.025152018,0.97070205,0.002763958
0.9828635,0.025704809,0.9701493,0.002763958
0.98258704,0.025981205,0.96987283,0.002763958
0.98231065,0.0262576,0.96959645,0.002763958
0.98203427,0.026533997,0.96932006,0.002763958
0.9817579,0.026810393,0.9690437,0.002763958
0.9814815,0.027086789,0.9687673,0.002763958
0.9812051,0.027363185,0.9684909,0.002763958
0.9809287,0.027639579,0.9682145,0.002763958
0.9806523,0.027915975,0.96793807,0.002763958
0.9803759,0.028468767,0.9673853,0.002763958
0.9800995,0.028745163,0.9671089,0.002763958
0.9798231,0.02902156,0.9668325,0.002763958
0.9795467,0.029297955,0.96655613,0.002763958
0.97927034,0.029574351,0.9662797,0.002763958
0.9789939,0.029850746,0.9660033,0.002763958
0.9787175,0.030127142,0.9657269,0.002763958
0.9784411,0.030403538,0.9654505,0.002763958
0.97816473,0.030679934,0.96517414,0.002763958
0.97788835,0.03095633,0.96489775,0.002763958
0.97761196,0.03150912,0.9643449,0.002763958
0.9773356,0.031785518,0.96406853,0.002763958
0.9770591,0.032061912,0.96379215,0.002763958
0.97678274,0.03233831,0.96351576,0.002763958
0.97650635,0.032614704,0.9632394,0.002763958
0.97622997,0.0328911,0.962963,0.002763958
0.9759536,0.033167496,0.96268654,0.002763958
0.9756772,0.03344389,0.96241015,0.002763958
0.97540075,0.03372029,0.96213377,0.002763958
0.97512436,0.033996683,0.9618574,0.002763958
0.974848,0.03427308,0.961581,0.002763958
0.9745716,0.034549475,0.9613046,0.002763958
0.9742952,0.035102267,0.9607518,0.002763958
0.9740188,0.03537866,0.9604754,0.002763958
0.9737424,0.035931453,0.9599226,0.002763958
0.973466,0.03620785,0.9596462,0.002763958
0.9731896,0.03620785,0.9596462,0.002763958
0.9729132,0.03676064,0.95798784,0.002763958
0.9726368,0.037037037,0.95771146,0.002763958
0.97236043,0.03731343,0.9574351,0.002763958
0.97208405,0.03758983,0.9571586,0.002763958
0.9718076,0.037866224,0.95688224,0.002763958
0.9715312,0.03814262,0.95660585,0.002763958
0.9712548,0.038419016,0.95632946,0.002763958
0.97097844,0.038695414,0.9560531,0.002763958
0.97070205,0.038971808,0.9557767,0.002763958
0.97042567,0.039248202,0.9555003,0.002763958
0.9701493,0.0395246,0.95522386,0.002763958
0.96987283,0.039800994,0.9549475,0.002763958
0.96959645,0.040077392,0.9546711,0.002763958
0.96932006,0.040353786,0.9543947,0.002763958
0.9690437,0.040630184,0.9541183,0.002763958
0.9687673,0.04090658,0.9538419,0.002763958
0.9684909,0.041182972,0.9535655,0.002763958
0.9682145,0.04145937,0.9532891,0.002763958
0.96793807,0.041735765,0.9530127,0.002763958
0.9676617,0.042012163,0.9527363,0.002763958
0.9673853,0.042288557,0.95245993,0.002763958
0.9671089,0.042564955,0.95218354,0.002763958
0.9668325,0.04284135,0.95190716,0.002763958
0.96655613,0.043117743,0.9516307,0.002763958
0.9662797,0.04339414,0.9513543,0.002763958
0.9660033,0.043670535,0.95107794,0.002763958
0.9657269,0.043946933,0.95080155,0.002763958
0.9654505,0.044223327,0.95052516,0.002763958
0.96517414,0.044499725,0.9502488,0.002763958
0.96489775,0.04477612,0.94997233,0.002763958
0.96462137,0.045052513,0.94969594,0.002763958
0.9643449,0.04532891,0.94941956,0.002763958
0.96406853,0.045605306,0.9491432,0.002763958
0.96379215,0.045881703,0.9488668,0.002763958
0.96351576,0.046158098,0.9485904,0.002763958
0.9632394,0.04671089,0.9477612,0.002763958
0.962963,0.046987284,0.9474848,0.002763958
0.96268654,0.047263682,0.9472084,0.002763958
0.96241015,0.047540076,0.946932,0.002763958
0.96213377,0.047816474,0.94665563,0.002763958
0.9618574,0.04809287,0.94637924,0.002763958
0.961581,0.048369266,0.9461028,0.002763958
0.9613046,0.04864566,0.9458264,0.002763958
0.9610282,0.049474847,0.94499725,0.002763958
0.9607518,0.049751244,0.94472086,0.002763958
0.9604754,0.05002764,0.9444444,0.002763958
0.960199,0.050304037,0.94416803,0.002763958
0.9599226,0.05058043,0.94389164,0.002763958
0.9596462,0.05085683,0.94361526,0.002763958
0.95936984,0.051133223,0.9433389,0.002763958
0.95909345,0.05196241,0.94250965,0.002763958
0.958817,0.052238807,0.94223326,0.002763958
0.9585406,0.0525152,0.9419569,0.002763958
0.95826423,0.053344388,0.9405749,0.002763958
0.95798784,0.05389718,0.9397457,0.002763958
0.95771146,0.054173578,0.93946934,0.002763958
0.9574351,0.05444997,0.93919295,0.002763958
0.9571586,0.05472637,0.9389165,0.002763958
0.95688224,0.055002764,0.9386401,0.002763958
0.95660585,0.055279158,0.93836373,0.002763958
0.95632946,0.055555556,0.93808734,0.002763958
0.9560531,0.05666114,0.93698174,0.002763958
0.9557767,0.056937534,0.93670535,0.002763958
0.9555003,0.05721393,0.93642896,0.002763958
0.95522386,0.057490326,0.9361526,0.002763958
0.9549475,0.05776672,0.9358762,0.002763958
0.9546711,0.05804312,0.9355998,0.002763958
0.9543947,0.058319513,0.93532336,0.002763958
0.9541183,0.05859591,0.935047,0.002763958
0.9538419,0.059148703,0.9344942,0.002763958
0.9535655,0.059425097,0.9342178,0.002763958
0.9532891,0.05970149,0.9339414,0.002763958
0.9530127,0.05997789,0.93366504,0.002763958
0.9527363,0.060254283,0.9333886,0.002763958
0.95245993,0.06053068,0.9331122,0.002763958
0.95218354,0.060807075,0.9328358,0.002763958
0.95190716,0.061083473,0.93255943,0.002763958
0.9516307,0.061359867,0.93228304,0.002763958
0.9513543,0.06191266,0.93117744,0.002763958
0.95107794,0.062189054,0.93090105,0.002763958
0.95080155,0.06246545,0.93062466,0.002763958
0.95052516,0.062741846,0.9303483,0.002763958
0.9502488,0.06301824,0.9300719,0.002763958
0.94997233,0.0657822,0.9273079,0.002763958
0.94969594,0.0660586,0.9270315,0.002763958
0.94941956,0.06633499,0.92675513,0.002763958
0.9491432,0.06661139,0.92647874,0.002763958
0.9488668,0.06688778,0.9262023,0.002763958
0.9485904,0.06771697,0.92537314,0.002763958
0.948314,0.067993365,0.92509675,0.002763958
0.94803756,0.06826976,0.92482036,0.002763958
0.9477612,0.06854616,0.9245439,0.002763958
0.9474848,0.06909895,0.92399114,0.002763958
0.9472084,0.06937534,0.92371476,0.002763958
0.946932,0.06965174,0.9234384,0.002763958
0.94665563,0.06992814,0.923162,0.002763958
0.94637924,0.07020453,0.9228856,0.002763958
0.9461028,0.07075732,0.9220564,0.002763958
0.9458264,0.07103372,0.92178,0.002763958
0.94555,0.07131012,0.9215036,0.002763958
0.94527364,0.07158651,0.9212272,0.002763958
0.94499725,0.071862906,0.92095083,0.002763958
0.94472086,0.0724157,0.9198452,0.002763958
0.9444444,0.07296849,0.919016,0.002763958
0.94416803,0.073244885,0.9187396,0.002763958
0.94389164,0.07352128,0.9187396,0.002763958
0.94361526,0.07379768,0.91846323,0.002763958
0.9433389,0.074074075,0.91818684,0.002763958
0.9430625,0.07435047,0.91791046,0.002763958
0.9427861,0.074903265,0.9173577,0.002763958
0.94250965,0.07517966,0.91708124,0.002763958
0.94223326,0.07573245,0.91542286,0.002763958
0.9419569,0.07600884,0.91514647,0.002763958
0.9416805,0.07628524,0.9148701,0.002763958
0.9414041,0.07656164,0.9145937,0.002763958
0.9411277,0.07683803,0.9143173,0.002763958
0.9408513,0.077114426,0.9140409,0.002763958
0.9405749,0.07739083,0.91376454,0.002763958
0.9402985,0.07766722,0.9134881,0.002763958
0.9400221,0.077943616,0.9132117,0.002763958
0.9397457,0.07822001,0.9129353,0.002763958
0.93946934,0.078496404,0.91265893,0.002763958
0.93919295,0.078772806,0.91238254,0.002763958
0.9389165,0.0790492,0.91210616,0.002763958
0.9386401,0.079325594,0.91182977,0.002763958
0.93836373,0.07960199,0.9115533,0.002763958
0.93808734,0.07987838,0.91127694,0.002763958
0.93781096,0.080154784,0.91100055,0.002763958
0.9375346,0.08043118,0.91072416,0.002763958
0.9372581,0.08070757,0.9104478,0.002763958
0.93698174,0.08098397,0.9101714,0.002763958
